Student_ID,Assignment,disciplinary_content,researcher_identity_labels,student_identity_labels,connections_personal_experiences,actions_planned_or_taken,disciplinary_values_self,disciplinary_values_researcher.s_,critical_consideration_power
ALa,SA2,1,0,0,0,0,1,1,0
MC,SA2,1,0,0,1,1,1,1,0
AL,SA2,1,0,0,1,0,1,1,0
SB,SA2,1,0,0,0,1,1,0,0
TS,SA2,1,0,0,0,0,1,0,0
TB,SA2,1,0,0,1,0,1,0,1
IM,SA2,1,0,0,0,0,0,0,0
LC,SA2,1,0,0,1,0,1,1,0
AC,SA2,1,0,0,0,1,1,1,0
GL,SA2,1,0,0,1,0,1,1,0
EB,SA2,1,0,0,0,0,0,0,0
MD,SA2,1,0,0,1,0,0,0,0
MK,SA2,1,0,0,1,0,0,0,0
CL,SA2,1,0,0,1,0,1,0,0
EN,SA2,1,0,0,0,0,0,0,0
MH,SA2,1,0,0,1,0,0,0,0
RL,SA2,1,0,0,0,0,1,1,0
IS,SA2,1,0,0,0,0,1,0,0
ALo,SA2,1,0,0,0,0,1,1,0
LF,SA2,1,0,0,0,0,1,0,0
AW,SA2,1,0,0,1,0,1,0,0
JV,SA2,1,0,0,0,0,1,1,0
CC,SA2,1,0,0,0,0,1,0,0
EZ,SA2,1,0,0,0,0,1,0,0
OE,SA2,1,0,0,0,0,1,1,0
JL,SA2,1,0,0,0,0,1,1,0
ME,SA2,1,0,0,1,0,1,1,0
KS,SA2,1,0,0,1,0,1,1,0
DG,SA2,1,0,0,0,0,1,0,0
ALa,SA8,1,0,0,1,0,0,1,0
MC,SA8,1,0,0,0,0,1,0,0
AL,SA8,1,0,0,,0,1,0,0
SB,SA8,1,0,0,1,0,0,0,0
TS,SA8,1,0,0,0,0,0,0,0
TB,SA8,1,0,0,1,0,0,0,0
IM,SA8,1,0,0,0,1,0,0,0
LC,SA8,1,0,0,0,0,0,0,0
AC,SA8,1,0,0,1,0,0,0,0
GL,SA8,1,0,0,1,1,0,0,0
EB,SA8,1,0,0,0,0,0,0,0
MD,SA8,,,,,,,,
MK,SA8,1,0,0,0,0,0,0,0
CL,SA8,1,0,0,0,0,1,0,0
EN,SA8,1,0,0,0,0,0,0,0
MH,SA8,1,0,0,1,0,1,0,0
RL,SA8,,,,,,,,
IS,SA8,1,0,0,0,0,0,0,0
ALo,SA8,1,0,0,0,0,0,1,0
LF,SA8,1,0,0,0,0,1,0,1
AW,SA8,1,0,0,1,0,1,0,0
JV,SA8,1,0,0,0,0,0,0,0
CC,SA8,1,0,0,0,0,0,0,0
EZ,SA8,1,0,0,0,0,1,1,0
OE,SA8,1,0,0,0,0,1,0,0
JL,SA8,1,0,0,0,0,1,1,0
ME,SA8,,,,,,,,
KS,SA8,1,1,0,1,0,1,0,1
DG,SA8,1,0,0,0,0,0,0,0
ALa,SA13,1,0,0,0,0,1,0,0
MC,SA13,1,0,0,1,0,1,0,1
AL,SA13,1,0,0,0,0,1,0,1
SB,SA13,1,0,0,1,0,0,0,0
TS,SA13,,,,,,,,
TB,SA13,,,,,,,,
IM,SA13,,,,,,,,
LC,SA13,1,0,0,1,0,1,1,0
AC,SA13,,0,0,0,0,0,1,0
GL,SA13,1,0,0,1,1,1,0,0
EB,SA13,1,0,0,0,0,1,0,0
MD,SA13,,,,,,,,
MK,SA13,,,,,,,,
CL,SA13,1,0,0,0,0,1,0,1
EN,SA13,1,0,0,0,0,0,0,0
MH,SA13,1,0,0,0,0,1,0,0
RL,SA13,,,,,,,,
IS,SA13,,,,,,,,
ALo,SA13,1,0,0,1,0,1,1,0
LF,SA13,,,,,,,,
AW,SA13,1,0,0,1,0,0,0,0
JV,SA13,1,0,0,0,0,0,0,0
CC,SA13,1,0,0,1,0,1,0,0
EZ,SA13,,,,,,,,
OE,SA13,,,,,,,,
JL,SA13,,,,,,,,
ME,SA13,1,0,0,0,0,1,0,1
KS,SA13,1,0,0,0,0,1,1,1
DG,SA13,1,0,0,0,0,1,1,0
AL,RSA3,1,0,0,0,0,1,0,0
AC,RSA3,1,1,0,0,0,1,0,1
ALo,RSA3,1,0,0,0,0,1,0,0
AW,RSA3,1,0,0,0,0,1,1,0
ALa,RSA3,1,0,0,0,0,0,0,0
CL,RSA3,,,,,,,,
CC,RSA3,1,0,0,0,0,1,0,1
DG,RSA3,,,,,,,,
EN,RSA3,1,0,0,1,0,0,1,1
EB,RSA3,1,0,0,0,0,1,1,0
EZ,RSA3,1,0,0,0,0,0,1,1
GL,RSA3,1,0,0,1,1,1,0,1
IM,RSA3,1,0,0,0,0,0,0,0
IS,RSA3,1,0,1,0,0,1,0,1
JL,RSA3,1,0,0,0,0,1,1,1
JV,RSA3,1,0,0,1,0,0,1,1
KS,RSA3,1,0,0,1,0,1,0,1
LC,RSA3,1,0,0,0,1,0,1,0
LF,RSA3,1,0,0,0,0,1,1,1
MF,RSA3,1,0,0,0,0,1,1,0
MH,RSA3,0,0,0,0,0,1,1,1
ME,RSA3,0,0,1,0,0,1,1,1
MC,RSA3,0,0,0,0,0,1,1,0
MK,RSA3,0,1,1,1,0,1,0,1
MD,RSA3,1,0,0,0,0,1,1,1
OE,RSA3,1,0,0,0,0,1,1,1
RL,RSA3,1,0,0,0,0,0,1,0
SB,RSA3,0,1,1,1,1,1,1,1
TS,RSA3,1,0,0,0,0,0,0,0
TB,RSA3,0,1,0,0,1,1,1,1
AL,RSA4,0,0,0,1,1,0,0,1
AC,RSA4,1,0,0,1,1,0,0,1
ALo,RSA4,1,0,0,1,0,1,1,1
AW,RSA4,1,0,0,0,0,0,1,1
ALa,RSA4,1,0,0,1,0,1,0,0
CL,RSA4,0,0,0,0,0,1,0,1
CC,RSA4,1,0,0,1,0,0,0,1
DG,RSA4,1,0,0,0,0,1,1,1
EN,RSA4,1,0,0,1,0,0,0,1
EB,RSA4,1,0,0,1,0,0,1,1
EZ,RSA4,1,0,0,1,0,0,0,1
GL,RSA4,,,,,,,,
IM,RSA4,1,0,0,1,0,0,0,1
IS,RSA4,1,0,1,0,1,1,0,1
JL,RSA4,1,0,0,1,1,1,1,1
JV,RSA4,0,0,0,0,0,0,1,1
KS,RSA4,1,1,0,0,0,1,0,1
LC,RSA4,1,0,0,1,0,1,0,0
LF,RSA4,0,1,0,0,0,1,1,1
MF,RSA4,,,,,,,,
MH,RSA4,0,0,0,0,0,1,1,1
ME,RSA4,0,0,0,0,0,1,1,1
MC,RSA4,1,0,0,0,0,1,1,1
MK,RSA4,0,0,0,0,0,1,1,1
MD,RSA4,0,0,0,0,0,0,0,1
OE,RSA4,0,0,0,0,0,1,1,1
RL,RSA4,0,0,0,0,0,1,0,1
SB,RSA4,0,0,0,0,0,1,1,1
TS,RSA4,0,0,0,1,0,1,1,1
TB,RSA4,0,0,0,0,0,1,1,1
AL,RSA10,1,1,0,1,0,1,1,1
AC,RSA10,1,1,0,0,0,1,1,1
ALo,RSA10,1,0,0,0,1,0,1,0
AW,RSA10,,,,,,,,
